target_cliente,target_producto,Semana,cantidad,se_compra
1.0,1.107371794871795,18,1.0,0
1.0,1.107371794871795,21,1.0,0
1.0,1.4461152882205515,19,1.0,0
1.0,2.625222024866785,18,1.0,1
1.0,2.625222024866785,19,1.0,0
1.0,1.1640112464854733,19,1.0,0
1.0,1.1640112464854733,21,1.0,1
1.0,1.1640112464854733,22,1.0,0
1.0,1.7638114546376078,19,1.0,0
1.0,1.7638114546376078,21,1.0,1
1.0,1.7638114546376078,22,1.0,0
1.0,3.3890237979601747,19,1.0,0
1.0,1.0398089171974523,20,1.0,0
1.0,1.2392444910807974,19,1.0,1
1.0,1.2392444910807974,20,1.0,0
1.0,2.970066518847007,19,1.0,0
1.0,1.099041533546326,19,1.0,0
1.0,1.099041533546326,21,1.0,0
1.0,1.3422053231939164,22,1.0,0
1.0,2.7088607594936707,18,1.0,0
1.0,2.7088607594936707,21,1.0,1
1.0,2.7088607594936707,22,1.0,0
1.0,3.2275449101796405,18,1.0,0
1.375,1.1394335511982572,21,1.0,0
1.375,1.3876404494382022,21,1.0,0
1.375,2.970066518847007,21,4.0,0
1.375,1.0615079365079365,21,1.0,0
1.375,1.09009009009009,21,1.0,0
1.375,1.089051094890511,21,1.0,0
1.375,1.0676855895196506,21,1.0,0
1.375,1.0780984719864177,21,1.0,0
1.375,1.107371794871795,22,1.0,0
1.375,1.2613412228796843,20,1.0,0
1.375,2.625222024866785,21,3.0,0
1.375,3.3890237979601747,20,2.0,0
1.375,1.3876404494382022,18,1.0,0
1.375,2.388888888888889,19,2.0,0
1.375,2.970066518847007,19,2.0,1
1.375,2.970066518847007,20,2.0,0
1.375,1.099041533546326,18,1.0,0
1.375,1.275064267352185,20,1.0,0
1.375,1.275064267352185,23,1.0,0
1.375,1.091710758377425,18,1.0,0
1.375,1.09009009009009,19,1.0,0
1.375,1.1353383458646618,22,1.0,0
1.375,1.089051094890511,22,1.0,0
1.375,1.0676855895196506,18,1.0,0
1.4,1.4461152882205515,18,1.0,1
1.4,1.4461152882205515,19,1.0,0
1.4,3.3890237979601747,21,2.0,0
1.4,1.3876404494382022,21,1.0,0
1.4,2.970066518847007,18,2.0,0
1.4,2.970066518847007,21,2.0,0
1.4,1.091710758377425,22,1.0,0
1.4,1.09009009009009,18,1.0,0
1.4,1.0676855895196506,18,1.0,0
1.4,1.6901408450704225,21,1.0,0
1.4,1.7833333333333334,18,1.0,1
1.4,1.7833333333333334,19,2.0,0
1.4,1.7833333333333334,21,2.0,1
1.4,1.7833333333333334,22,2.0,0
1.4,1.0780984719864177,19,1.0,0
